# VolumeName  Mass_kg  MaterialName
TOTAL_MASS CopperSideKaptonSupport 0.0085801
TOTAL_MASS G4_Galactic 2.69953e-18
TOTAL_MASS Germanium 0.376789
TOTAL_MASS LeadInnerShielding 57.4734
TOTAL_MASS LeadOuter_Bottom 4580.49
TOTAL_MASS LeadOuter_Mid 11877.3
TOTAL_MASS LeadOuter_Top 4202.25
TOTAL_MASS PCB 0.012231
TOTAL_MASS PolOuter_Bottom 434.745
TOTAL_MASS PolOuter_Extra 605.899
TOTAL_MASS PolOuter_Mid 696.122
TOTAL_MASS PolyInnerShielding 9.81349
TOTAL_MASS Poly_Chaussette 12.9806
TOTAL_MASS Scintillator 906.075
TOTAL_MASS StainlessSteelOVCBottom 2.23787
TOTAL_MASS StainlessSteelOVCBride 191.426
TOTAL_MASS StainlessSteelOVCFlange 22.039
TOTAL_MASS StainlessSteelOVCWall 35.8642
TOTAL_MASS Screws_SS 0.1041
TOTAL_MASS Cable 0.0072576
TOTAL_MASS Mylar 0.168276
GRAND_TOTAL_MASS 24256
